Course	Title		Min Credits	Description	CourseType1	CourseType2
ARAB*110	Beginning Arabic I	4	0	An introduction to Modern Standard Arabic., Students learn the basic sound and writing, systems of Arabic and are exposed to various, aspects of Arab culture.  Communication at an, elementary level is achieved by study of language, components including sounds, letters, grammar,, and vocabulary.  Four class meetings are held, each week.	IP	ME
ARAB*120	Beginning Arabic II	4	0	Continued introduction to Modern Standard Arabic.,  Emphasis is placed on the functional use of the, Arabic language. Students learn the basic, structural patterns of grammar and phonology,, develop basic writing and conversational skills,, and receive further introduction to Arab culture., Four class meetings are held each week., Prerequisite: Arabic 110 or permission of the, instructor.	IP	ME
ARAB*215	Intermediate Arabic I	4	0	Continued study of Modern Standard Arabic, with, emphasis on grammar and expansion of vocabulary,, as well as current events and cultures of, Arabic-speaking societies. Attention is given to, reading, writing, listening comprehension, and, speaking skills. Three 50-minute class meetings, are held each week, plus an additional practicum, hour (to be arranged) with an Arabic teaching, fellow that emphasizes speaking and interacting, in Arabic. Prerequisite: Arabic 120 or permission, of the instructor., 	IP	ME
ARAB*225	Intermediate Arabic II	4	0	Continued study of the basic structural patterns, of Modern Standard Arabic. Students acquire more, vocabulary and more knowledge of fundamental, grammatical structures in order to attain a, higher level of proficiency in communicating in, Modern Standard Arabic. We focus on principles of, word formation, roots and patterns, and use of, the dictionary to read more complex texts., Prerequisite: Arabic 215 or permission of the, instructor.	IP	ME
ARAB*250	Modern Arabic Novel in Translation	4	0	An introduction to the contemporary Arabic novel, and the historical, political, and cultural, realities of the Middle East. Class sessions, focus on discussion of key developments in the, literature of the contemporary Arabic-speaking, world. The selected novels, originally written in, Arabic but translated into English, offer a space, to discuss the important issues that have, influenced this genre: colonialism and, post-colonialism, religion and secularization,, orientalism, and feminism.	HE	PD
ARAB*382	Shared Lang Prog-Alienation Mod Arab Lit	3	0	Alienation in Modern Arabic Literature is a, 300-level course whose language of instruction is, Arabic.  The primary goal of the course is to, develop students' ability to read, understand,, and analyze literary prose as well as introduce, them to modern poetry, short story, and drama in, Arabic.  The course will also help students, develop their fluency in both oral and written, expression through discussions, presentations,, and written work on a vvariety of topcs connected, to the theme of alienation.  This course follows, the philosophy of the integrated approach where, language is emphasized through the, appropriateness of context.  Students are, expected to make conscious decisions as to which, Arabic variety (MSA or Spoken) to use based on, the topics'level of formality.  In terms of, logistics: this is a "Shared Languages Program", offered at Earlham (host institute)and will have, students from both other, guest institutions. , Guest students who enroll in this class are, subject to all course requirements and calandar, of the host institute.  Prerequisites: successful, completion of four semesters of Arabic (ie what, is equivalent to second semester of Intermediate, Arabic) or the consent of the professor.  , Credits: Three semester hours.		
ARAB*529	Internship: Arabic	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
ARAB*590	Independent Study	1	4	An independent study or research experience. The, student independently pursues a topic or project, of interest with guidance from a faculty member., Students meet one-on-one with the faculty mentor, on a regular basis and also complete independent, readings, laboratory work, or comparable, activities. Credit: One to four semester credit, hours. Prerequisite: Permission of the instructor.		
ARAB*592	Student Teaching	2	4	A field experience in education during which, students work with teachers and students in, elementary or secondary schools.  Relevant, readings, as well as discussions with the, instructor and the supervising teacher, provide, the background and context for the fieldwork. , Students are required to keep a reflective, journal and to complete a culminating project, based on their experiences in the classroom., Offered on the Credit/No Credit basis only. , Credit: Two to four semester credit hours., Prerequisite: Permission of the instructor.		
ART*110	Survey of Art History I	4	0	An introductory survey of Western art from, pre-history to the end of the Middle Ages,, including significant non-Western artistic, traditions in India, China and the Americas, before 1500.	HE	IP
